Mobilisation,1.00,0.01,  ,100,"16,901,057",1-Mar-23,25-Apr-23
Supply of Materials,16.43,0.16,  ,100,"277,659,406",25-Mar-23,25-Jul-23
Excavation,1.32,0.00002, Cum ,"69,343","22,309,211",14-Mar-23,12-Oct-23
Earth filling,2.55,0.00002, Cum ,"106,200","43,033,143",25-Apr-23,10-Nov-23
PCC,1.69,0.00040, Cum ,"4,270","28,479,441",30-Mar-23,17-Nov-23
Fixing of Reinforcement Steel,14.47,0.00252, MT ,"5,735","244,503,259",5-Apr-23,22-Nov-23
RCC Substructure,6.02,0.00051, Cum ,"11,830","101,720,964",12-Apr-23,27-Nov-23
RCC Superstructure,21.21,0.00060, Cum ,"35,360","358,526,625",1-Jun-23,30-Dec-23
Form work,7.03,0.00005, Sqm. ,"138,912","118,857,020",15-Apr-23,28-Dec-23
Structural Steel Fabrication,0.66,0.00199, MT ,332,"11,159,455",8-Jul-23,7-Apr-24
Structural Steel Erection,0.22,0.00066, MT ,332,"3,719,818",12-Aug-23,14-Apr-24
Structural Painting,0.13,0.00031, MT ,426,"2,251,234",9-Sep-23,7-May-24
Precast Items,1.32,0.00104, Cum ,"1,270","22,379,017",7-Sep-23,12-Feb-24
Brickwork & Stone Masonry ,3.79,0.00042, Cum ,"8,918","63,994,610",1-Aug-23,8-Mar-24
Flooring,1.90,0.00004, Sqm ,"52,629","32,121,042",10-Aug-23,8-Apr-24
Plastering,1.86,0.00002, Sqm ,"92,410","31,396,776",8-Aug-23,17-Mar-24
Painting,0.36,0.00001, Sqm ,"41,388","6,066,667",14-Aug-23,17-May-24
Water Proofing,2.07,0.00013, Sqm ,"15,445","35,013,971",1-Nov-23,31-Mar-24
 Road Works - Granular Sub Base,0.28,0.00020, Cum ,"1,400","4,746,375",4-Nov-23,30-Dec-23
Road Works - Wet Mix Meccadam,0.22,0.00016, Cum ,"1,381","3,686,733",11-Nov-23,7-Jan-24
Road Pavement,0.88,0.00064, Cum ,"1,381","14,843,978",16-Nov-23,11-Feb-24
RCC Pipe (Drainage work),0.68,0.00045, M ,"1,500","11,467,566",11-Nov-23,7-Feb-24
Glazing,2.58,0.00028, Sqm ,"9,180","43,663,028",9-Sep-23,14-Apr-24
Alluminium Fixing Work,0.55,0.00833, MT ,66,"9,342,492",1-Sep-23,17-Apr-24
"Door, Window, Ventilator and shutter",0.09,0.00010, Sqm ,875,"1,584,868",7-Jan-24,8-Apr-24
Cladding Works,8.01,0.00160, Sqm ,"5,000","135,374,069",9-Nov-23,11-May-24
Misc. & Finishing,2.68,0.02680,  ,100,"45,303,916",1-Aug-23,27-May-24
